time,NearestPointAverage2,EquilibriumTide,NearestPointAverageNoTide,NearestPointAverage2_dt,EquilibriumTide_dt,NearestPointAverageNoTide_dt
2011,-0.6507736821853172,-1.8587824106057838,-1.7749729697442227,-0.6975343886606096,-1.819934038117557,-1.8163451867083749
2012,-0.385274195403138,-1.8723354108207282,-1.775011483403949,-0.44250114566883325,-1.833783048322628,-1.8239135069046668
2013,0.0474764128870806,-1.587780143714637,-1.500993653255879,-0.02071851136126744,-1.549549713418986,-1.5577633555817136
2014,2.276768433472837,0.6622891726265578,0.587118458883424,2.1970951264145926,0.7001716974338432,0.5221375982366194
2015,-0.4388745500505671,-1.6890122770749585,-1.6170723367554274,-0.5305453273809365,-1.6515036821155493,-1.6906134424263513
2016,1.507831097211536,0.6183187843833888,0.7634826787362634,1.4036350835118192,0.6554273740618173,0.6810266341307685
2017,0.34764086542968897,-0.0037054690269009427,0.20290834254002021,0.23038317062840824,0.032976988863848256,0.1111770578822005
2018,-2.0749959382005407,-1.9903880960287719,-1.7919227718498405,-2.2058604374705864,-1.9541579475059943,-1.8932952048850349
2019,0.6261765032138129,1.1989576463934064,1.3501162838991192,0.48115139747280733,1.2347092568943259,1.2387311869541981
2020,-1.0242256254582358,-0.041323001825109174,0.05901915950699177,-1.183973818307387,-0.006076209073528224,-0.06275572408730816
2021,-0.38296445301179105,0.9035973010164007,1.1713690951367575,-0.5580068922412678,0.9383129452175686,1.0388216949461235
